user_id,user_name,num_games,max_viewers
36473331,coscu,2,13111
137347549,Locklear,2,12211
76385901,elded,2,11934
135468063,AntoineDanielLive,2,11366
25690271,bysTaXx,2,10842
44880944,ElmiilloR,2,10170
16764225,Syndicate,2,10066
121510236,juansguarnizo,2,9881
207813352,HasanAbi,2,9363
50795214,Sardoche,2,8517
15310631,Greekgodx,2,8517
26921830,Elajjaz,2,8386
23936415,Jerma985,2,8046
121059319,MOONMOON,2,8041
30904062,서새봄냥,2,7833
40784764,Shlorox,2,7809
79442833,Mithrain,2,7581
43286888,ELoTRiX,2,7491
22016393,Vince,2,7264
22877031,UselessMouth,2,7121
147729812,KriszhAdvice,2,6949
197688174,tioorochitwitch,2,6917
69906737,chocoTaco,2,6640
403474131,JLWaliid,2,6625
93141680,NVIDIAGeForcePL,2,6529
31089858,DreadzTV,2,6409
94753024,Mizkif,2,6370
90075649,IlloJuan,2,6000
53256534,jovirone,2,5918
30623831,QuickyBaby,2,5902
32140000,SypherPK,2,5797
49207184,fps_shaka,2,5754
42583390,xChocoBars,2,5675
31557869,dasMEHDI,2,5632
170547313,AdzTV,2,5568
63602976,SkipNhO,2,5210
41879247,ernesBarbeQ,2,5094
158409957,Nemesis_TV_,2,5091
88524154,XEWER,2,5050
87803283,The_Happy_Hob,2,5038
86403736,고차비,2,4756
192023754,Joyca,2,4719
38746172,EsfandTV,2,4717
40110994,ReventXz,2,4683
79769388,unsympathisch_tv,2,4618
39393054,ScreaM,2,4579
160677372,Closer,2,4529
419005514,FEDMYSTER2,2,4525
61519248,unicornio,2,4471
46780407,rewinside,2,4391
131342532,PiazzTwitch,2,4331
68124914,blackelespanolito,2,4206
182714869,Peereira7,2,4196
56865374,BarbarousKing,2,4136
63880003,Anton,2,4070
35647075,PatoPapao,2,4013
28295429,GodHunt,2,3970
143368887,Kolderiu,2,3909
51929371,mL7support,2,3873
39115143,Th3Antonio,2,3788
115659124,Sanchovies,2,3771
208308607,drb7h,2,3746
30777889,itsHafu,2,3740
54742538,KarmikKoala,2,3700
151678267,sdrumox,2,3663
29034217,FrigoAdri,2,3638
81463115,Kotton,2,3591
126436297,Klean,2,3590
116780430,Spt083,2,3575
101632981,educatedearTW,2,3526
144395004,Linca,2,3522
85875635,BrownMan,2,3491
23528098,AvoidingThePuddle,2,3445
21442544,n0thing,2,3417
95865289,mery_soldier,2,3389
124021995,BeyondTheSummit_PT,2,3342
62300805,NymN,2,3336
63675549,Kaydop,2,3329
68292748,Reverse2k,2,3307
43356746,Amaz,2,3274
36324138,Distortion2,2,3249
45139193,JustGaBBo,2,3227
67970187,Pun1shers_TV,2,3221
94875296,LuluLuvely,2,3214
53065331,DarioMocciaTwitch,2,3202
41726922,shikai,2,3140
154425624,Kyle,2,3122
